Entity,Code,Year,Population (historical estimates)
Ukraine,UKR,1806,11215490
Mali,MLI,1808,1403398
Central African Republic,CAF,1913,914120
Afghanistan,AFG,1897,4738246
Cuba,CUB,2020,11326616
Laos,LAO,1853,640193
Fiji,FJI,2010,859816
Argentina,ARG,1846,953983
Jordan,JOR,1815,212623
Luxembourg,LUX,1972,345104
Saint Lucia,LCA,1838,24000
Romania,ROU,1944,15901448
Brunei,BRN,1813,2271
Senegal,SEN,1866,1030884
Togo,TGO,1948,1347411
Philippines,PHL,1863,4391255
North Macedonia,MKD,2018,2082956
Malaysia,MYS,1845,478694
Seychelles,SYC,2006,89528
Fiji,FJI,2001,813923
Oman,OMN,1859,351980
Europe,NA,1929,486994645
Rwanda,RWA,1969,3643237
Democratic Republic of Congo,COD,1935,9713831
Turks and Caicos Islands,TCA,1910,263
Lithuania,LTU,1907,2799168
Singapore,SGP,1966,1919274
Lesotho,LSO,1834,225048
Saint Vincent and the Grenadines,VCT,1878,39958
World,OWID_WRL,1892,1556562451
Switzerland,CHE,2019,8591361
Cuba,CUB,1890,1651500
Bahrain,BHR,1819,64474
Haiti,HTI,1816,671819
Mayotte,MYT,1984,68205
Oceania,NA,1896,5634767
Monaco,MCO,1960,22461
Rwanda,RWA,1916,1383516
Brunei,BRN,1889,11833
Mauritius,MUS,1981,978071
Dominica,DMA,1958,57775
Bulgaria,BGR,1906,4305504
Nicaragua,NIC,1937,920215
Tanzania,TZA,1993,27887204
Brunei,BRN,1851,4297
Benin,BEN,1824,655316
Cape Verde,CPV,1917,155526
Romania,ROU,1813,6062932
Angola,AGO,1943,4011417
World,OWID_WRL,1855,1289344086
Palestine,PSE,2007,3756459
Ghana,GHA,1981,11348287
Sudan,SDN,1838,4444398
Saint Vincent and the Grenadines,VCT,1993,108036
Turkmenistan,TKM,1988,3493892
Israel,ISR,1858,223319
Togo,TGO,2020,8278736
Eswatini,SWZ,1918,145119
Iraq,IRQ,1946,5022737
Brunei,BRN,1839,3359
Bhutan,BTN,2020,771612
Tuvalu,TUV,1981,7825
Papua New Guinea,PNG,1956,2114280
Iceland,ISL,1865,68412
Egypt,EGY,1810,3831632
Kazakhstan,KAZ,1992,16302809
Kuwait,KWT,1883,88592
Austria,AUT,1850,3952208
Bolivia,BOL,1810,987890
Bolivia,BOL,2017,11192853
Sudan,SDN,1992,21696240
Uganda,UGA,1992,18561668
Iceland,ISL,1828,59618
Maldives,MDV,1860,52970
Kuwait,KWT,1913,107596
Vatican,VAT,1897,910
Iceland,ISL,1895,74187
Colombia,COL,1936,8887820
Turkmenistan,TKM,1904,787462
South Sudan,SSD,1898,1826910
Lithuania,LTU,1871,1647612
Uruguay,URY,1841,101597
Chile,CHL,1915,3789811
Togo,TGO,1900,744983
Turkey,TUR,1814,9978873
Sweden,SWE,1858,3749688
British Virgin Islands,VGB,2020,30237
Bosnia and Herzegovina,BIH,1887,1496362
Equatorial Guinea,GNQ,1903,131321
Burkina Faso,BFA,1833,1743740
Slovakia,SVK,1902,2867980
Zambia,ZMB,1887,1630367
Uruguay,URY,1888,641860
Togo,TGO,1823,451711
Mozambique,MOZ,1933,4523612
Cuba,CUB,1942,4911968
Tajikistan,TJK,1805,466629
Zambia,ZMB,1944,2065069
Madagascar,MDG,1828,1896405
Cayman Islands,CYM,1963,8219
Canada,CAN,1847,2219548
Brazil,BRA,1928,32480517
Bangladesh,BGD,1951,38706399
Kuwait,KWT,1970,744444
Cote d'Ivoire,CIV,1838,1055375
San Marino,SMR,1916,11910
Czechia,CZE,1988,10330925
Saint Lucia,LCA,1842,24000
Cote d'Ivoire,CIV,2004,17970493
Myanmar,MMR,1858,4011902
Guyana,GUY,1945,364291
Afghanistan,AFG,1941,6765457
Azerbaijan,AZE,1859,1256990
Indonesia,IDN,2018,267670549
Sint Maarten (Dutch part),SXM,1982,15032
Norway,NOR,2017,5296324
Tonga,TON,1962,66233
Oman,OMN,1923,423194
Sri Lanka,LKA,1891,3511099
Liberia,LBR,1838,323359
Denmark,DNK,1954,4411662
Kiribati,KIR,1902,26111
Czechia,CZE,1874,7894250
Iceland,ISL,1850,59333
Saint Kitts and Nevis,KNA,1894,48404
Serbia,SRB,1977,8663330
Switzerland,CHE,1928,3986221
Ghana,GHA,1929,3582404
American Samoa,ASM,1967,25235
San Marino,SMR,1821,5543
Mali,MLI,1840,1468741
Senegal,SEN,1998,9347777
Malawi,MWI,1976,5545653
Botswana,BWA,1838,104719
Lesotho,LSO,1858,191926
Mayotte,MYT,1980,55136
Latvia,LVA,2010,2118855
Norway,NOR,1943,3058165
Malaysia,MYS,1879,1062814
Andorra,AND,1890,4321
United Kingdom,GBR,1843,26875131
Liberia,LBR,1853,336913
Chile,CHL,1917,3886897
Tuvalu,TUV,1921,4049
Denmark,DNK,1981,5125296
Zambia,ZMB,1899,1614833
Denmark,DNK,1940,3845283
Cyprus,CYP,1886,199139
British Virgin Islands,VGB,1999,20026
United Kingdom,GBR,1851,27376152
Iraq,IRQ,1808,1036211
Uganda,UGA,1924,3373717
Samoa,WSM,1896,33845
Bahamas,BHS,1987,243265
Burundi,BDI,1932,1727964
Sri Lanka,LKA,2020,21413250
Isle of Man,IMN,1971,56352
North Macedonia,MKD,1930,1051338
Fiji,FJI,1953,314452
Nigeria,NGA,2020,206139587
Ecuador,ECU,1888,1252134
Afghanistan,AFG,1948,7503485
Jamaica,JAM,1841,379816
Cape Verde,CPV,1909,164214
Vatican,VAT,1965,853
Guinea-Bissau,GNB,1811,218167
Iran,IRN,1975,32729772
Bolivia,BOL,1804,926014
Russia,RUS,1814,31434539
Vietnam,VNM,1865,9117922
Brunei,BRN,1828,2687
Portugal,PRT,1808,2956972
Benin,BEN,1908,1277406
Dominica,DMA,1834,21364
Turks and Caicos Islands,TCA,2007,30383
Cote d'Ivoire,CIV,1952,2761084
Angola,AGO,1864,2729431
Tanzania,TZA,1999,32682240
Chile,CHL,1900,3135464
Bahamas,BHS,1812,27350
Indonesia,IDN,1902,39153251
Yemen,YEM,1880,2852168
Tanzania,TZA,1874,5325713
Andorra,AND,1893,4411
Romania,ROU,1925,13075761
Paraguay,PRY,1940,1114229
Kyrgyzstan,KGZ,1911,1209600
Kyrgyzstan,KGZ,1985,3993077
Cuba,CUB,1965,7958171
Asia,NA,1830,790835895
Argentina,ARG,1889,3262972
North America,NA,1939,187271895
Equatorial Guinea,GNQ,1945,184954
Sierra Leone,SLE,1860,825359
Somalia,SOM,1823,1039860
Namibia,"NAM",1828,157653
Papua New Guinea,PNG,1801,754894
Poland,POL,1956,27770044
Chad,TCD,1846,1756124
World,OWID_WRL,1873,1367778454
Cyprus,CYP,1941,451265
Europe,NA,1952,560200992
Afghanistan,AFG,1997,19357126
Liberia,LBR,2010,3891357
Nicaragua,NIC,1872,364991
Luxembourg,LUX,1914,262736
Namibia,"NAM",1811,197782
Barbados,BRB,1983,254791
Suriname,SUR,1856,86319
Saint Kitts and Nevis,KNA,1943,41368
Kazakhstan,KAZ,1803,2041282
Tajikistan,TJK,1926,1213744
Finland,FIN,1947,3907849
Palestine,PSE,1915,350132
Marshall Islands,MHL,1954,13792
Congo,COG,1977,1629218
United Kingdom,GBR,1825,22646329
Central African Republic,CAF,1931,1016814
United Kingdom,GBR,1930,46495659
Brunei,BRN,1962,89484
Armenia,ARM,2014,2912403
Guyana,GUY,1872,200035
Japan,JPN,1974,111022692
Kiribati,KIR,1838,19496
Philippines,PHL,1824,2335728
Chad,TCD,1918,1674083
Bonaire Sint Eustatius and Saba,BES,2002,13882
Slovenia,SVN,1867,710093
Taiwan,TWN,1892,2536581
Oman,OMN,1937,437608
Denmark,DNK,1925,3394327
Belgium,BEL,1840,4080847
Sudan,SDN,1843,4544299
Guinea-Bissau,GNB,1977,771732
Djibouti,DJI,1902,42391
Niger,NER,1827,886342
Rwanda,RWA,1860,1531088
Vatican,VAT,1921,912
Zimbabwe,ZWE,1966,4623340
Suriname,SUR,1880,90834
Angola,AGO,1970,5890360
Dominican Republic,DOM,1968,4247559
Barbados,BRB,1823,86024
Myanmar,MMR,1806,5106807
Iceland,ISL,1941,122631
Bhutan,BTN,1882,292380
Guinea-Bissau,GNB,1950,535438
Asia,NA,1940,1314744179
Bhutan,BTN,1927,258657
Ethiopia,ETH,1880,18189915
Senegal,SEN,1938,2013630
Honduras,HND,1943,1319427
Singapore,SGP,1877,104168
Mozambique,MOZ,1946,5549987
Slovakia,SVK,1922,3078469
Maldives,MDV,1953,76485
Martinique,MTQ,1987,347754
Equatorial Guinea,GNQ,1842,100061
Iceland,ISL,1971,207095
Cameroon,CMR,1903,3133783
Eritrea,ERI,1896,579556
Benin,BEN,1925,1527130
American Samoa,ASM,1810,3163
Europe,NA,1918,452735659
Turkmenistan,TKM,2004,4703396
Ethiopia,ETH,1951,18466973
Grenada,GRD,1801,29409
Afghanistan,AFG,1807,3280000
Laos,LAO,1945,1266852
Kazakhstan,KAZ,1888,3761491
Sweden,SWE,1863,3924326
Cameroon,CMR,1951,4383964
Mexico,MEX,1963,41462373
Gibraltar,GIB,2008,33570
Kenya,KEN,1823,2906927
Jamaica,JAM,1939,1202391
Ethiopia,ETH,1941,17888877
Netherlands,NLD,1880,4031125
Spain,ESP,1940,25747201
Anguilla,AIA,1996,10117
Maldives,MDV,1878,57560
Bulgaria,BGR,1876,2819098
San Marino,SMR,1952,13095
Belize,BLZ,1877,26734
Croatia,HRV,1820,1234391
Papua New Guinea,PNG,1973,2989201
France,FRA,1801,29108552
Iceland,ISL,1832,58732
Philippines,PHL,1895,6312457
Zimbabwe,ZWE,1818,1085814
Bonaire Sint Eustatius and Saba,BES,1991,13430
Laos,LAO,1986,3794204
Jamaica,JAM,2010,2810464
Hong Kong,HKG,1871,123591
Romania,ROU,1912,11845140
Dominica,DMA,2012,70954
Spain,ESP,2015,46671919
China,CHN,1818,373701758
Haiti,HTI,2002,8754148
Oman,OMN,1873,360512
New Caledonia,NCL,1972,114984
Nepal,NPL,1951,8663602
Seychelles,SYC,1839,13384
Djibouti,DJI,1993,618504
Lebanon,LBN,1833,364622
Cambodia,KHM,1874,2402935
Saint Martin (French part),MAF,2008,36880
Oceania,NA,1851,1905382
Turkmenistan,TKM,1941,1102908
Falkland Islands,FLK,1820,1660
Malta,MLT,1953,313266
Tajikistan,TJK,2020,9537642
Moldova,MDA,1887,1308512
Montenegro,MNE,1882,330905
Taiwan,TWN,1868,2311779
Brunei,BRN,1826,2594
Haiti,HTI,1962,4019171
Mauritania,MRT,1822,375585
Somalia,SOM,1898,1537105
Uruguay,URY,1874,389918
Uzbekistan,UZB,2005,26427785
India,IND,1905,300803415
Kiribati,KIR,2002,87308
Liechtenstein,LIE,1906,10783
Maldives,MDV,1843,48527
Channel Islands,OWID_CIS,2006,152999
Italy,ITA,1834,22073351
Czechia,CZE,1834,6146481
Belarus,BLR,1904,5093781
San Marino,SMR,1886,9037
Armenia,ARM,1839,491706
Sri Lanka,LKA,1888,3375074
Burkina Faso,BFA,1835,1756108
Canada,CAN,1901,5523789
Guinea-Bissau,GNB,1865,224533
Vietnam,VNM,1903,13286043
Grenada,GRD,1808,29409
Botswana,BWA,1814,114728
Andorra,AND,1991,56666
Madagascar,MDG,1921,2598822
Mali,MLI,1956,5032123
Zambia,ZMB,1852,1594073
Burundi,BDI,1944,2074359
San Marino,SMR,1864,7679
Bangladesh,BGD,1872,23598755
Czechia,CZE,1800,5516349
Costa Rica,CRI,1849,100488
Israel,ISR,1943,963277
Montenegro,MNE,1970,519702
Pakistan,PAK,1987,98285762
Guinea,GIN,1936,2384590
Lithuania,LTU,1935,2440305
World,OWID_WRL,1973,3927780518
Malaysia,MYS,1975,12162189
Turkmenistan,TKM,1855,505389
Oman,OMN,1899,377248
Samoa,WSM,1933,59133
Panama,PAN,1817,85512
Latvia,LVA,1913,2294139
Democratic Republic of Congo,COD,1885,9701143
Iraq,IRQ,1847,1233360
Malta,MLT,1914,228601
Botswana,BWA,1911,196862
Gibraltar,GIB,1966,26631
Sudan,SDN,1883,4839505
Mauritania,MRT,2010,3494200
Wallis and Futuna,WLF,1988,13848
Argentina,ARG,2021,45605823
Turkmenistan,TKM,1805,367215
North Macedonia,MKD,1852,519135
Slovakia,SVK,1956,3886744
Mozambique,MOZ,1895,4388328
Denmark,DNK,1804,1029239
Bahamas,BHS,1816,27350
Solomon Islands,SLB,1841,71444
Malta,MLT,1870,180817
Bermuda,BMU,1982,58390
Bahamas,BHS,2008,343680
Netherlands,NLD,1928,7612377
Brazil,BRA,1859,8301818
Oman,OMN,1845,341625
Albania,ALB,1912,901008
Niue,NIU,1973,4450
Tajikistan,TJK,1883,824685
Mozambique,MOZ,1815,2071588
Belgium,BEL,1929,8005591
Democratic Republic of Congo,COD,1928,8904649
Jamaica,JAM,2015,2891024
Croatia,HRV,1922,3019165
Mauritania,MRT,1903,364829
Libya,LBY,1959,1401631
Hungary,HUN,1894,6803261
Jamaica,JAM,1921,881065
Montenegro,MNE,1810,126582
Egypt,EGY,1989,54788680
Trinidad and Tobago,TTO,2013,1353708
Seychelles,SYC,1804,12522
Madagascar,MDG,1816,1644750
Mauritania,MRT,1933,492084
Nicaragua,NIC,1977,2985480
Norway,NOR,1807,889474
Haiti,HTI,1916,2064037
Palau,PLW,1947,7226
Curacao,CUW,1950,100181
Cameroon,CMR,1867,2976664
Turkmenistan,TKM,1942,1113029
Costa Rica,CRI,1911,397354
Venezuela,VEN,1952,5974437
Cameroon,CMR,1972,6867170
Burkina Faso,BFA,1873,2001932
Asia,NA,1885,869788419
Africa,NA,1956,258408217
World,OWID_WRL,1966,3407922630
Egypt,EGY,1926,13161999
Ecuador,ECU,1994,11207999
Asia,NA,1883,859077394
Italy,ITA,2010,59325232
Solomon Islands,SLB,1964,132766
Luxembourg,LUX,1908,254308
Marshall Islands,MHL,1817,5828
Ireland,IRL,1885,4918228
Spain,ESP,1949,27827656
Hungary,HUN,1901,7156620
Slovakia,SVK,1964,4343459
Morocco,MAR,2012,33241898
Gabon,GAB,1965,533357
Sri Lanka,LKA,1827,1396842
Finland,FIN,1923,3220491
Egypt,EGY,1816,4045311
Brunei,BRN,2011,393687
Burundi,BDI,1984,4621096
Mexico,MEX,1934,18067674
Venezuela,VEN,1838,1145056
Eswatini,SWZ,1923,159320
Hong Kong,HKG,1935,975037
Guyana,GUY,1992,748596
France,FRA,1850,36317907
Democratic Republic of Congo,COD,1814,5163819
Angola,AGO,1955,5043251
Suriname,SUR,1986,374133
Liechtenstein,LIE,1914,11501
Barbados,BRB,1875,166964
Cameroon,CMR,2013,22077300
Anguilla,AIA,1974,7101
Macao,MAC,2000,427772
Armenia,ARM,1933,1142505
Bahamas,BHS,1809,27350
Hungary,HUN,1822,4207196
Burundi,BDI,1813,899097
Bulgaria,BGR,2001,7930700
Zambia,ZMB,1908,1528741
Ecuador,ECU,1895,1354686
Barbados,BRB,1825,88994
Eswatini,SWZ,1825,75432
Philippines,PHL,1901,6769206
United Arab Emirates,ARE,1849,40153
Solomon Islands,SLB,1886,105877
Cape Verde,CPV,1960,201770
Turkey,TUR,1979,42994043
Eswatini,SWZ,2007,1042651
Palau,PLW,1892,5521
Slovakia,SVK,1826,2188750
Germany,DEU,1816,23345232
Afghanistan,AFG,1951,7840151
Rwanda,RWA,1873,1552294
Latvia,LVA,1817,590588
Singapore,SGP,1829,36193
Panama,PAN,1800,75600
Uruguay,URY,1826,65580
Burkina Faso,BFA,1837,1768564
Timor,TLS,2009,1074286
Zambia,ZMB,1923,1507508
World,OWID_WRL,1914,1843131589
Italy,ITA,2015,60578489
Georgia,GEO,1923,2743688
Equatorial Guinea,GNQ,1867,120462
Aruba,ABW,1900,9600
Angola,AGO,2018,30809787
China,CHN,1909,422922872
Mongolia,MNG,1966,1139962
Papua New Guinea,PNG,1870,870378
Nauru,NRU,1989,9275
Iraq,IRQ,1992,18402740
Russia,RUS,1831,34679300
Mauritius,MUS,1972,852394
Grenada,GRD,1970,94476
Cuba,CUB,2002,11199664
Zimbabwe,ZWE,1872,828371
Uruguay,URY,1962,2603883
Greece,GRC,1996,10832139
Kuwait,KWT,1930,124356
Belize,BLZ,1885,29433
Papua New Guinea,PNG,1924,716508
Cote d'Ivoire,CIV,1895,1408989
Vanuatu,VUT,1814,27791
Tunisia,TUN,2020,11818618
Japan,JPN,1826,31197502
Latvia,LVA,1888,1773974
Uruguay,URY,1982,2953852
Cape Verde,CPV,1950,178064
Bolivia,BOL,1969,4389248
Kazakhstan,KAZ,1874,3322203
North Macedonia,MKD,1829,424063
Iran,IRN,1946,16345307
Suriname,SUR,1982,360927
Guatemala,GTM,2019,17581476
Afghanistan,AFG,1831,3445140
Fiji,FJI,1822,135658
Turkmenistan,TKM,1980,2876809
Jordan,JOR,1913,272521
Moldova,MDA,1845,895439
Turks and Caicos Islands,TCA,1940,514
United Kingdom,GBR,1834,25152100
San Marino,SMR,1858,7346
Congo,COG,2003,3406915
Monaco,MCO,1843,10274
Bahamas,BHS,1874,42277
Ireland,IRL,1881,5112969
Rwanda,RWA,1848,1466700
Vatican,VAT,1875,908
Bulgaria,BGR,1999,8067005
Samoa,WSM,1952,86805
Burundi,BDI,1980,4157296
Russia,RUS,1920,77871981
Palestine,PSE,1870,201054
Sao Tome and Principe,STP,1821,22925
Guinea-Bissau,GNB,1993,1043421
Bhutan,BTN,1854,331584
Chile,CHL,1973,10265827
Armenia,ARM,1961,1941498
Pakistan,PAK,1918,21063008
Mauritania,MRT,1894,343634
Lesotho,LSO,1947,667455
Seychelles,SYC,1970,52371
Sudan,SDN,1837,4424683
Netherlands,NLD,1857,3248164
Italy,ITA,1962,50442350
Costa Rica,CRI,1962,1433346
Saint Barthlemy,NA,1979,3017
Dominica,DMA,1906,31598
Gabon,GAB,1876,351784
Australia,AUS,1891,3127374
Oceania,NA,1828,1533988
Romania,ROU,1844,7648618
Bhutan,BTN,2013,710235
Myanmar,MMR,1890,6950909
Africa,NA,1823,86056105
Turkey,TUR,2004,67010929
Lithuania,LTU,1943,2483349
Kenya,KEN,1827,2969061
Benin,BEN,1976,3347169
Qatar,QAT,1880,14720
Vanuatu,VUT,1967,78505
Italy,ITA,1853,24924200
Hungary,HUN,1827,4363586
Costa Rica,CRI,1836,87270
Falkland Islands,FLK,1957,2175
Burundi,BDI,1908,1544725
Comoros,COM,1916,118080
Saint Vincent and the Grenadines,VCT,1941,62222
Uruguay,URY,1966,2722871
Saudi Arabia,SAU,2000,20663840
Australia,AUS,1874,1923486
Netherlands,NLD,1831,2655969
Mongolia,MNG,1861,657913
Sudan,SDN,1904,4902437
Benin,BEN,1975,3265167
Bosnia and Herzegovina,BIH,1870,1162393
India,IND,1999,1038058154
Saint Kitts and Nevis,KNA,1853,30240
Montserrat,MSR,2006,4890
Cote d'Ivoire,CIV,1978,7350269
Saint Kitts and Nevis,KNA,1879,44318
Montenegro,MNE,1940,416305
Sweden,SWE,1982,8329428
Norway,NOR,1844,1299499
Reunion,REU,1999,724484
France,FRA,1857,36937755
Netherlands Antilles,ANT,1990,295861
Zambia,ZMB,1856,1595749
Sri Lanka,LKA,1970,12485736
Oceania,NA,1876,3729570
Suriname,SUR,1942,192604
South Africa,ZAF,1914,6780137
Peru,PER,1978,16683451
Uzbekistan,UZB,1945,5906391
Lebanon,LBN,1902,516091
Micronesia (country),FSM,1928,28330
Bulgaria,BGR,1914,4734477
Ethiopia,ETH,1938,17888877
Poland,POL,1886,21259418
Syria,SYR,1962,4875429
Serbia,SRB,1972,8260626
Japan,JPN,1989,124058517
Greenland,GRL,1978,49865
Argentina,ARG,1830,634974
Rwanda,RWA,1976,4506109
Gabon,GAB,1817,158227
Vatican,VAT,1916,912
Mayotte,MYT,1966,31783
Tuvalu,TUV,2006,10118
Uganda,UGA,1986,15070319
Saint Lucia,LCA,1954,85945
Bosnia and Herzegovina,BIH,1813,851806
Solomon Islands,SLB,2000,412665
Zimbabwe,ZWE,1959,3654172
Barbados,BRB,1932,177942
Colombia,COL,2017,48909844
Malta,MLT,1906,224663
Myanmar,MMR,1956,19956404
Cameroon,CMR,1959,5074196
Vietnam,VNM,1995,74910462
Russia,RUS,1961,121403897
Seychelles,SYC,1910,24700
Thailand,THA,1970,36884525
Guatemala,GTM,1912,1534666
Lithuania,LTU,1909,2858687
Finland,FIN,1859,1724467
Gibraltar,GIB,1961,23808
Gibraltar,GIB,1983,29481
Mozambique,MOZ,1854,4735954
Sudan,SDN,1928,5171131
El Salvador,SLV,1810,173349
Gambia,GMB,1903,170054
Turkey,TUR,1879,12480446
Germany,DEU,1934,68179764
Vietnam,VNM,1805,4525034
Liechtenstein,LIE,1959,16120
Afghanistan,AFG,1894,4668186
Guyana,GUY,1838,103377
Montserrat,MSR,1880,12116
Marshall Islands,MHL,1880,24210
Trinidad and Tobago,TTO,1977,1039210
Mozambique,MOZ,1814,2066737
Central African Republic,CAF,1875,974132
Sweden,SWE,1846,3322547
Nigeria,NGA,1929,26800741
Tonga,TON,1865,19061
Spain,ESP,1994,39660079
Montenegro,MNE,1894,397990
Ethiopia,ETH,1888,18124826
Mali,MLI,1942,4109642
Comoros,COM,1952,166538
Singapore,SGP,1900,214605
Togo,TGO,1945,1277194
Sri Lanka,LKA,1971,12747831
Romania,ROU,1904,11244756
Qatar,QAT,2003,681791
Rwanda,RWA,1971,3871428
Cameroon,CMR,1863,2923760
Cambodia,KHM,1913,3023697
Montserrat,MSR,2013,4932
Brunei,BRN,1838,3290
Bangladesh,BGD,2002,132478076
Yemen,YEM,1833,2655083
Belarus,BLR,2011,9415316
Sweden,SWE,1928,6087740
Lithuania,LTU,1991,3697451
Austria,AUT,1942,6758904
Qatar,QAT,1801,14092
Thailand,THA,1979,46401750
Angola,AGO,1854,2511209
Democratic Republic of Congo,COD,1805,5163819
Antigua and Barbuda,ATG,1871,34908
El Salvador,SLV,1956,2491249
Seychelles,SYC,1996,77597
Mozambique,MOZ,1937,4782304
Curacao,CUW,1964,132316
Hungary,HUN,1914,7737480
North Macedonia,MKD,1994,1981713
Europe,NA,1977,684625058
Italy,ITA,1957,48852439
North Korea,PRK,1940,8985385
Andorra,AND,1819,2658
Kiribati,KIR,1971,51979
Poland,POL,1930,27427399
Malaysia,MYS,1803,287000
Romania,ROU,1942,15821885
Estonia,EST,2016,1316507
Brazil,BRA,1825,4878026
Angola,AGO,1807,1567028
Ethiopia,ETH,1882,18173643
Singapore,SGP,1930,583019
Spain,ESP,1841,14030474
Venezuela,VEN,1982,16017570
Chad,TCD,1833,1657735
Cambodia,KHM,1925,2864575
Sweden,SWE,1844,3254769
Norway,NOR,1913,2457013
Namibia,"NAM",1869,144654
United Arab Emirates,ARE,1811,40153
Nicaragua,NIC,2011,5903035
Bhutan,BTN,1960,223284
Vietnam,VNM,1889,11017644
Mongolia,MNG,1887,682480
Puerto Rico,PRI,1980,3090688
Chad,TCD,1828,1621378
Indonesia,IDN,1951,70849443
Peru,PER,1968,12735491
Austria,AUT,1948,6897134
Burundi,BDI,1940,1935933
Sao Tome and Principe,STP,1874,33285
Uruguay,URY,1814,55000
Algeria,DZA,1901,4727402
Finland,FIN,1847,1569719
Colombia,COL,1817,1206000
Haiti,HTI,1958,3719427
Bahrain,BHR,1881,68388
Tajikistan,TJK,1890,877998
Egypt,EGY,2019,100388076
Mozambique,MOZ,1918,3768039
Spain,ESP,2020,46754783
North America,NA,1820,21390070
El Salvador,SLV,1926,1492719
Barbados,BRB,1922,160363
Equatorial Guinea,GNQ,1892,140479
Nicaragua,NIC,1913,673838
Suriname,SUR,1829,82047
Ecuador,ECU,1912,1698418
Antigua and Barbuda,ATG,1911,31467
Barbados,BRB,1951,215724
Greece,GRC,1928,6278321
Ecuador,ECU,1984,8843463
Democratic Republic of Congo,COD,1951,12428907
Vatican,VAT,1833,905
Palau,PLW,1970,11803
South Sudan,SSD,1915,2097961
Czechia,CZE,1947,8765000
Guatemala,GTM,1957,3850435
Trinidad and Tobago,TTO,1803,23583
North Korea,PRK,1943,9441089
El Salvador,SLV,1889,744523
Ghana,GHA,1959,6435160
Ireland,IRL,1807,5835329
Slovenia,SVN,1908,1020438
Luxembourg,LUX,1897,227704
Uzbekistan,UZB,1900,3933432
Germany,DEU,1892,49464772
Spain,ESP,1807,11741320
Seychelles,SYC,1851,13977
Kazakhstan,KAZ,1805,2041282
Chile,CHL,1943,5780501
Belarus,BLR,1828,2533842
Guinea-Bissau,GNB,1884,257193
Zimbabwe,ZWE,1836,836674
Dominican Republic,DOM,1820,91318
Kuwait,KWT,1907,102877
Oceania,NA,1871,3387192
Italy,ITA,1915,36589157
Singapore,SGP,1805,30000
Colombia,COL,2006,43200901
North America,NA,1892,92865765
Bhutan,BTN,1972,316822
Jordan,JOR,1873,256863
Indonesia,IDN,1961,90098396
South Africa,ZAF,1848,2878929
Egypt,EGY,1894,8943072
Saint Pierre and Miquelon,SPM,1983,6030
Benin,BEN,1883,1046755
Burundi,BDI,1880,1658118
United States Virgin Islands,VIR,2003,108354
Cook Islands,COK,2017,17505
North America,NA,2002,497173033
Suriname,SUR,1834,82793
Uruguay,URY,1868,316809
Vatican,VAT,1956,909
Iceland,ISL,1909,86571
China,CHN,1885,374909182
Mongolia,MNG,1824,622786
Fiji,FJI,1970,520561
Tajikistan,TJK,1885,839578
Mauritania,MRT,2007,3202512
Montenegro,MNE,1881,325854
Burkina Faso,BFA,1895,2250684
Asia,NA,1936,1262555134
Sri Lanka,LKA,1869,2707173
Yemen,YEM,1913,3279312
Puerto Rico,PRI,1973,2749863
Liberia,LBR,1958,1073380
Madagascar,MDG,1892,2910072
Gambia,GMB,1808,103274
Fiji,FJI,1983,685497
Trinidad and Tobago,TTO,1918,384492
United Arab Emirates,ARE,2013,9197908
Maldives,MDV,1868,54967
Gabon,GAB,1942,420006
Oman,OMN,1998,2251859
Laos,LAO,1822,479039
France,FRA,1843,35329405
Sao Tome and Principe,STP,2015,199439
Solomon Islands,SLB,2021,703995
Palestine,PSE,1956,1004288
United Arab Emirates,ARE,1940,62852
Saint Kitts and Nevis,KNA,1860,34192
Martinique,MTQ,1981,326987
Sierra Leone,SLE,1948,1973250
French Guiana,GUF,1962,34379
Nicaragua,NIC,1932,832923
Tajikistan,TJK,1900,960190
Antigua and Barbuda,ATG,1874,34851
Northern Mariana Islands,MNP,1982,20163
Hungary,HUN,2017,9729822
Niger,NER,1943,2252909
Comoros,COM,1955,175906
Luxembourg,LUX,2002,443727
Greece,GRC,1957,8127479
Iraq,IRQ,1903,2559031
Afghanistan,AFG,1848,3716745
Madagascar,MDG,2011,21743970
Andorra,AND,1953,7859
Madagascar,MDG,2014,23589897
Venezuela,VEN,1806,876001
Ukraine,UKR,2009,45970942
Kazakhstan,KAZ,1996,15631926
United Arab Emirates,ARE,1980,1019507
Tanzania,TZA,2003,36337778
Turkey,TUR,1888,13184734
Albania,ALB,1897,787540
Sweden,SWE,2002,8920703
Africa,NA,1970,363447593
Iceland,ISL,1955,157641
Ukraine,UKR,2005,46890775
Sudan,SDN,1927,5148193
Puerto Rico,PRI,2010,3579842
Saint Martin (French part),MAF,1956,3489
Tuvalu,TUV,1929,4208
Taiwan,TWN,1837,2111379
Bangladesh,BGD,1960,48013505
Lebanon,LBN,1803,304596
Mongolia,MNG,1965,1107121
Equatorial Guinea,GNQ,1884,135808
Asia,NA,1918,1082756905
Oman,OMN,1872,359898
Lithuania,LTU,1964,2927385
San Marino,SMR,1909,10732
Brunei,BRN,1959,77880
Philippines,PHL,1842,3193695
Brunei,BRN,1910,23033
Oman,OMN,1950,456410
Nepal,NPL,2017,27632682
Paraguay,PRY,1833,210947
Pakistan,PAK,1831,14153873
Bolivia,BOL,1822,1116493
Greenland,GRL,1964,36438
South America,NA,2018,423581098
Armenia,ARM,1840,496218
